,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2022-06-08,25.940000,26.795000,25.600000,26.530000,26.530000,512364,0.000000,1.000000
2022-06-09,26.400000,26.730000,25.540000,25.980000,25.980000,694764,0.000000,1.000000
2022-06-10,25.530000,25.842300,24.250000,25.000000,25.000000,680234,0.000000,1.000000
2022-06-13,24.010000,24.450000,21.410000,22.030000,22.030000,1039666,0.000000,1.000000
2022-06-14,22.190000,22.630000,21.640000,22.310000,22.310000,305203,0.000000,1.000000
2022-06-15,22.670000,23.330000,21.820000,22.200000,22.200000,626059,0.000000,1.000000
2022-06-16,21.950000,22.885000,21.120000,21.400000,21.400000,370665,0.000000,1.000000
2022-06-17,21.760000,22.850000,21.340000,22.220000,22.220000,508205,0.000000,1.000000
2022-06-21,22.810000,23.725000,21.980000,23.480000,23.480000,303621,0.000000,1.000000
2022-06-22,23.070000,24.510000,22.850000,23.980000,23.980000,292722,0.000000,1.000000
2022-06-23,24.180000,26.130000,23.590000,25.800000,25.800000,812833,0.000000,1.000000
2022-06-24,26.170000,28.600000,26.050000,28.540000,28.540000,1524365,0.000000,1.000000
2022-06-27,28.520000,28.520000,27.215000,27.870000,27.870000,1325814,0.000000,1.000000
2022-06-28,27.870000,28.230000,25.910000,26.100000,26.100000,722097,0.000000,1.000000
2022-06-29,26.080000,26.890000,25.430000,26.780000,26.780000,423239,0.000000,1.000000
2022-06-30,26.970000,26.970000,25.000000,26.000000,26.000000,652840,0.000000,1.000000
2022-07-01,25.920000,26.665000,25.690000,26.160000,26.160000,321962,0.000000,1.000000
2022-07-05,25.790000,27.500000,25.280000,27.390000,27.390000,444735,0.000000,1.000000
2022-07-06,27.290000,28.710000,27.290000,27.440000,27.440000,350011,0.000000,1.000000
2022-07-07,27.370000,28.220000,27.280000,27.610000,27.610000,241461,0.000000,1.000000
2022-07-08,27.070000,27.910000,27.069700,27.610000,27.610000,208592,0.000000,1.000000
2022-07-11,27.590000,27.890000,26.920000,27.440000,27.440000,352717,0.000000,1.000000
2022-07-12,27.510000,27.700000,25.730000,25.880000,25.880000,503573,0.000000,1.000000
2022-07-13,25.380000,25.830000,24.530000,25.300000,25.300000,380204,0.000000,1.000000
2022-07-14,24.990000,25.410000,23.630000,24.140000,24.140000,418107,0.000000,1.000000
2022-07-15,24.410000,25.370000,23.840000,25.100000,25.100000,323824,0.000000,1.000000
